,tweet_id,text,favorite_count,retweet_count,created_at
108,1060557035022897152,"We did a new Rewatchables podcast: ‘All the President’s Men’ w/ me, @ChrisRyan77 @SeanFennessey ... Get out your headphones, there’s more. Your lives are in danger.

https://t.co/wkMv98cs4g",61,2,Thu Nov 08 15:37:56 +0000 2018
109,1060556901585436675,"The newly-elected D House members also strike me as being fairly ready for duty—there weren't the sort of accidental winners you sometimes see in wave elections. A lot of them are liable to be fairly tough incumbents, although the incumbency advantage is weaker than it once was.",856,108,Thu Nov 08 15:37:24 +0000 2018
110,1060556758538608640,"RT @cjane87: If this is like when I finished my thesis they’ve got two cans of Monster and six packs of gum and let’s not lie, the last ten…",0,78,Thu Nov 08 15:36:50 +0000 2018
111,1060556241452367872,"He likes movies. He likes music. He likes to eat. He works out. He goes on dates.

Just a normal guy.

Just a normal guy who is ranked second in the world in chess. 

https://t.co/3f49HxymKN",63,8,Thu Nov 08 15:34:46 +0000 2018
112,1060556049260990464,"If Dems hold the House in 2020, it may get easier after that because the map will probably be less gerrymandered thereafter. I kind of wonder if we're entering an era where Congress will be split (D House, R Senate) a lot more often.",879,132,Thu Nov 08 15:34:00 +0000 2018
113,1060555936312377344,RT @RachaelBL: I cried when I watched @MiaBLove’s 2017 March for Life speech. So I was especially outraged by Trump’s caustic remarks about…,0,201,Thu Nov 08 15:33:34 +0000 2018
114,1060555839088410624,"RT @BreakingNews: @AP Sheriff: Gunman is believed to have used a legally purchased .45 caliber handgun with an ""extended magazine;"" believe…",0,193,Thu Nov 08 15:33:10 +0000 2018
115,1060555773560840193,"RT @michaelshermer: Another Dream Deferred. My @QuilletteM on how identity politics, intersectionality theory, and tribal divisiveness are…",0,91,Thu Nov 08 15:32:55 +0000 2018
116,1060555394861461506,"That popular vote margin is going to rise—I'm guessing to about 7%, maybe 7.5%—but Democrats did a really good job capitalizing on their opportunities. https://t.co/wAZEHslrc6",936,179,Thu Nov 08 15:31:24 +0000 2018
117,1060555080129306625,"Boss moves only

https://t.co/NND559cIV5",101,16,Thu Nov 08 15:30:09 +0000 2018
118,1060554886117502977,Kristine Leahy does a complete breakdown of the Lakers – Wolves game from her court-side seat https://t.co/JHjbj9gWDd,1,0,Thu Nov 08 15:29:23 +0000 2018
119,1060554262562754560,"RT @JD_Tuccille: ""the group broke his oak door and one person mentioned a pipe bomb, as heard on a security video."" https://t.co/BIGF3PqjJG…",0,881,Thu Nov 08 15:26:54 +0000 2018
120,1060552537143758852,#Atrain #Ctrain and #Etrain have delays  #MTA https://t.co/jh4U3Ctg8s,0,0,Thu Nov 08 15:20:03 +0000 2018
121,1060552282167631873,"RT @RaviMGupta: .@GinaOrtizJones campaign needs help on the ground. If you or someone you know can spring into action in the district, emai…",0,128,Thu Nov 08 15:19:02 +0000 2018
122,1060551859096539136,"RT @LongIslandNets: GAME DAY 🏀
📍 @nycblive
⏰ 7:00pm
📺 @yesnetwork &amp; ESPN+
📻 @wrhusports 
🎙 @K_Dexter, @randyfoye &amp; @G_Antoniello 
🎟 https:/…",0,9,Thu Nov 08 15:17:21 +0000 2018
123,1060551487603073024,Waking up feeling like...... https://t.co/GxKOEejsGU,102,13,Thu Nov 08 15:15:53 +0000 2018
124,1060551282933547008,"Abel's got a new LP on the way

https://t.co/1WWST1DGnr",139,36,Thu Nov 08 15:15:04 +0000 2018
125,1060551186972065793,"‘Long season, man’: Why Boston isn’t sweating its slow start https://t.co/PyOBBUuc0T",0,1,Thu Nov 08 15:14:41 +0000 2018
126,1060550228879818753,"⬇️ Today in Hip-Hop ⬇️

@Eminem ends up having four singles in the Billboard Hot 100 chart's top 20 

https://t.co/aAFBHmJndI",177,50,Thu Nov 08 15:10:53 +0000 2018
127,1060550024877223939,Planned work reported on #Ltrain [L] Service runs every 12 minutes between Myrtle-Wyckoff Avs and Rockaway Pkwy in Brooklyn #MTA https://t.co/jh4U3Ctg8s,0,0,Thu Nov 08 15:10:04 +0000 2018
128,1060549853955153921,Backwoods &amp; Big Shots.. YM.. Vise Versa 🤙🏾 https://t.co/AeeYZXDKK4,2134,439,Thu Nov 08 15:09:23 +0000 2018
129,1060549265334943744,"Lil Peep and XXXTentacion's posthumous song ""Falling Down"" has officially been certified gold

https://t.co/eNVTcrc7Nu",239,47,Thu Nov 08 15:07:03 +0000 2018
130,1060547511469961216,"Happy Birthday @TechN9ne! 🎉 What's his best song ever?

https://t.co/FgNJ0n3ATN",94,18,Thu Nov 08 15:00:05 +0000 2018
131,1060547134129389568,RT @Ruleyork: You 50 trolls are trying waaay to hard hope y’all getting a check and not just a ✔️lmao... Anyway for the ones on the short b…,0,80,Thu Nov 08 14:58:35 +0000 2018
132,1060547052877299713,"We're also moving GA-7—another one where the networks differ—from ""called R"" to Likely R. The Dem trails by 900 votes here but there's 20K absentee votes still left to be counted. https://t.co/2p5vDKarsP",363,109,Thu Nov 08 14:58:16 +0000 2018
133,1060546539850883073,RT @andrewthehan: [🎧] Running diary pod from @WindhorstESPN as he starts at shootaround with @TajGibson22 @ATolliver44 and ends the day fro…,0,5,Thu Nov 08 14:56:13 +0000 2018
134,1060545860000497665,[Canton Rep] - NBA G League Preview: Canton Charge at Maine Red Claws https://t.co/oHfYp9TEVp,1,0,Thu Nov 08 14:53:31 +0000 2018
135,1060545793046781952,I will give all my organs to RBG.  Just lemme know what she needs.,6,0,Thu Nov 08 14:53:15 +0000 2018
136,1060545061757190144,Flame thrower! https://t.co/XgzMmxrjFk,345,40,Thu Nov 08 14:50:21 +0000 2018
137,1060544326902509568,RT @LEBassett: Please- nobody ask @PressSec another question until she is forced to address the doctored video she fed the public.,0,2649,Thu Nov 08 14:47:26 +0000 2018
138,1060544135348645889,The Brady Center says California has the nation’s strongest gun laws. https://t.co/ZUZBPwragQ,6615,1978,Thu Nov 08 14:46:40 +0000 2018
139,1060543754338217986,"Weezy was spazzing on this

https://t.co/IOrF3p3re2",197,62,Thu Nov 08 14:45:09 +0000 2018
140,1060543686155489280,RT @guypbenson: “The protesters had blocked off both ends of his street and carried signs that listed his home address.” They also cracked…,0,2050,Thu Nov 08 14:44:53 +0000 2018
141,1060543664978415624,"RT @realDailyWire: THE @BENSHAPIRO SHOW: SUNDAY SPECIAL! @JohnStossel joins Ben to discuss Libertarianism, drug decriminalization, the Amer…",0,40,Thu Nov 08 14:44:48 +0000 2018
142,1060543644682334208,This is like asking “what would you recommend instead of sticking my finger in a light socket?” There are many answers. All of them start with not sticking your finger in light sockets anymore. https://t.co/V1ivT3H2KX,46,3,Thu Nov 08 14:44:43 +0000 2018
143,1060541482266816512,"RT @brianstelter: Carlson's wife ""locked herself in the pantry and called 911."" @DCPoliceDept responded to the scene. Police will be paying…",0,573,Thu Nov 08 14:36:07 +0000 2018
144,1060541429922103296,I am antifascist. I also believe the Antifa kids are so confoundingly stupid that they may as well be a false flag operation. Not saying they ARE a false flag operation. Just that they may as well be for all the good they do.,443,53,Thu Nov 08 14:35:55 +0000 2018
145,1060541415761952770,RT @SethAMandel: All Trump had to do was say “Dear diary” and Acosta would’ve disintegrated on the spot and he’d be president forever,0,276,Thu Nov 08 14:35:52 +0000 2018
146,1060540649424863232,"RT @LahavHarkov: Her mourning after the Pittsburgh tragedy was clearly just a brief detour from her regularly-scheduled antisemitism. 

As…",0,376,Thu Nov 08 14:32:49 +0000 2018
147,1060540406318850054,"Nets fans! We have 10 exclusive fan experiences at @barclayscenter designed to give you and your family memories that will last a lifetime. Get your package today before we come back home next week!

👉 https://t.co/3NDOrPxmWe https://t.co/5rA9HthFXb",19,4,Thu Nov 08 14:31:51 +0000 2018
148,1060540338543050754,RT @abc7greg: Absolutely heartbreaking interview from witness with @ABC7Jory at scene of reported mass shooting at #Borderline in #Thousand…,0,6428,Thu Nov 08 14:31:35 +0000 2018
149,1060539974523719680,"J. Cole has been in his bag all 2018

https://t.co/BVfxTkyPm0",263,52,Thu Nov 08 14:30:08 +0000 2018
150,1060539959004680194,RT @BenShapQuotes: https://t.co/KxxI2Ifi5P,0,117,Thu Nov 08 14:30:04 +0000 2018
151,1060539955154423808,"#7train have planned work Nov 7 - 9, Wed to Fri, 10:15 AM to 3 PMNov 12 - 16, Mon to Fri, 10:15 AM to 3 PMFlushing-bound [7] trains skip 33, 40, 46, 52 and 69 Sts in Queens #NYCsubway https://t.co/jh4U3Ctg8s",0,0,Thu Nov 08 14:30:03 +0000 2018
152,1060539874686599169,RT @SeanTrende: You can sort of sort these districts that flipped into a few buckets (obvs things have changed since I sketched this out la…,0,13,Thu Nov 08 14:29:44 +0000 2018
